|table_name|chunk_id|column_id|    column_name|column_data_type|distinct_value_count|encoding_type|vector_compression_type|size_in_bytes|point_accesses|sequential_accesses|monotonic_accesses|random_accesses|dictionary_accesses|
|  lineitem|       3|        7|          l_tax|           float|                   9|   Dictionary|  FixedSize1ByteAligned|        65667|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       3|        8|   l_returnflag|          string|                   2|   Dictionary|  FixedSize1ByteAligned|        65743|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       3|        9|   l_linestatus|          string|                   1|   Dictionary|  FixedSize1ByteAligned|        65703|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       3|       10|     l_shipdate|          string|                  27|   Dictionary|  FixedSize1ByteAligned|        66743|             0|            5963685|                 0|              0|            5963685|
|  lineitem|       3|       11|   l_commitdate|          string|                 204|   Dictionary|  FixedSize1ByteAligned|        73823|             0|              65535|            312234|         929394|             377769|
|  lineitem|       3|       12|  l_receiptdate|          string|                  56|   Dictionary|  FixedSize1ByteAligned|        67903|             0|              65535|            312234|         929394|             377769|
|  lineitem|       3|       13| l_shipinstruct|          string|                   4|   Dictionary|  FixedSize1ByteAligned|        65858|             0|              65535|             25676|              0|              69935|
|  lineitem|       3|       14|     l_shipmode|          string|                   7|   Dictionary|  FixedSize1ByteAligned|        65943|             0|              65535|            178873|              0|              76535|
|  lineitem|       3|       15|      l_comment|          string|               63721|   Dictionary|  FixedSize2ByteAligned|      4320624|             0|              65535|                 0|              0|              65535|
|  lineitem|       4|        0|     l_orderkey|             int|               44941|    TurboPFOR|                   NULL|       181628|             0|           90634905|            806654|        3356259|                  0|
|  lineitem|       4|        1|      l_partkey|             int|               55800|    TurboPFOR|                   NULL|       149206|             0|          215479080|            405742|         623138|                  0|
|  lineitem|       4|        2|      l_suppkey|             int|                9988|    TurboPFOR|                   NULL|       116438|             0|            7995270|            197378|        2567198|                  0|
|  lineitem|       4|        3|   l_linenumber|             int|                   7|    TurboPFOR|                   NULL|        26326|             0|             196605|                 0|              0|                  0|
|  lineitem|       4|        4|     l_quantity|           float|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|          1755|           10682205|              6538|         598129|           10711377|
|  lineitem|       4|        5|l_extendedprice|           float|               63020|   Dictionary|  FixedSize2ByteAligned|       383246|             0|           11730765|                 0|         415894|           11730765|
|  lineitem|       4|        6|     l_discount|           float|                  11|   Dictionary|  FixedSize1ByteAligned|        65675|             0|           11730765|                 0|         407303|           11730765|
|  lineitem|       4|        7|          l_tax|           float|                   9|   Dictionary|  FixedSize1ByteAligned|        65667|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       4|        8|   l_returnflag|          string|                   2|   Dictionary|  FixedSize1ByteAligned|        65743|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       4|        9|   l_linestatus|          string|                   1|   Dictionary|  FixedSize1ByteAligned|        65703|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       4|       10|     l_shipdate|          string|                  27|   Dictionary|  FixedSize1ByteAligned|        66743|             0|            5963685|                 0|              0|            5963685|
|  lineitem|       4|       11|   l_commitdate|          string|                 205|   Dictionary|  FixedSize1ByteAligned|        73863|             0|              65535|            312151|         928471|             377686|
|  lineitem|       4|       12|  l_receiptdate|          string|                  56|   Dictionary|  FixedSize1ByteAligned|        67903|             0|              65535|            312151|         928471|             377686|
|  lineitem|       4|       13| l_shipinstruct|          string|                   4|   Dictionary|  FixedSize1ByteAligned|        65858|             0|              65535|             24436|              0|              69935|
|  lineitem|       4|       14|     l_shipmode|          string|                   7|   Dictionary|  FixedSize1ByteAligned|        65943|             0|              65535|            177498|              0|              76535|
|  lineitem|       4|       15|      l_comment|          string|               63763|   Dictionary|  FixedSize2ByteAligned|      4320117|             0|              65535|                 0|              0|              65535|
|  lineitem|       5|        0|     l_orderkey|             int|               44927|    TurboPFOR|                   NULL|       181495|             0|           90634905|            799118|        3375275|                  0|
|  lineitem|       5|        1|      l_partkey|             int|               55958|    TurboPFOR|                   NULL|       149206|             0|          215479080|            406020|         617762|                  0|
|  lineitem|       5|        2|      l_suppkey|             int|                9986|    TurboPFOR|                   NULL|       116438|             0|            7995270|            196549|        2568279|                  0|
|  lineitem|       5|        3|   l_linenumber|             int|                   7|    TurboPFOR|                   NULL|        26326|             0|             196605|                 0|              0|                  0|
|  lineitem|       5|        4|     l_quantity|           float|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|          1852|           10682205|              5672|         598945|           10709919|
|  lineitem|       5|        5|l_extendedprice|           float|               63015|   Dictionary|  FixedSize2ByteAligned|       383226|             0|           11730765|                 0|         415880|           11730765|
|  lineitem|       5|        6|     l_discount|           float|                  11|   Dictionary|  FixedSize1ByteAligned|        65675|             0|           11730765|                 0|         407437|           11730765|
|  lineitem|       5|        7|          l_tax|           float|                   9|   Dictionary|  FixedSize1ByteAligned|        65667|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       5|        8|   l_returnflag|          string|                   2|   Dictionary|  FixedSize1ByteAligned|        65743|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       5|        9|   l_linestatus|          string|                   1|   Dictionary|  FixedSize1ByteAligned|        65703|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       5|       10|     l_shipdate|          string|                  28|   Dictionary|  FixedSize1ByteAligned|        66783|             0|            5963685|                 0|              0|            5963685|
|  lineitem|       5|       11|   l_commitdate|          string|                 204|   Dictionary|  FixedSize1ByteAligned|        73823|             0|              65535|            311213|         929755|             376748|
|  lineitem|       5|       12|  l_receiptdate|          string|                  57|   Dictionary|  FixedSize1ByteAligned|        67943|             0|              65535|            311213|         929755|             376748|
|  lineitem|       5|       13| l_shipinstruct|          string|                   4|   Dictionary|  FixedSize1ByteAligned|        65858|             0|              65535|             23335|              0|              69935|
|  lineitem|       5|       14|     l_shipmode|          string|                   7|   Dictionary|  FixedSize1ByteAligned|        65943|             0|              65535|            172404|              0|              76535|
|  lineitem|       5|       15|      l_comment|          string|               63703|   Dictionary|  FixedSize2ByteAligned|      4320687|             0|              65535|                 0|              0|              65535|
|  lineitem|       6|        0|     l_orderkey|             int|               44741|    TurboPFOR|                   NULL|       181645|             0|           90634905|            810879|        3343275|                  0|
|  lineitem|       6|        1|      l_partkey|             int|               55914|    TurboPFOR|                   NULL|       149206|             0|          215479080|            405839|         613325|                  0|
|  lineitem|       6|        2|      l_suppkey|             int|                9988|    TurboPFOR|                   NULL|       116438|             0|            7995270|            197978|        2567807|                  0|
|  lineitem|       6|        3|   l_linenumber|             int|                   7|    TurboPFOR|                   NULL|        26326|             0|             196605|                 0|              0|                  0|
|  lineitem|       6|        4|     l_quantity|           float|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|          1539|           10682205|              6257|         599624|           10710675|
|  lineitem|       6|        5|l_extendedprice|           float|               63047|   Dictionary|  FixedSize2ByteAligned|       383354|             0|           11730765|                 0|         416036|           11730765|
|  lineitem|       6|        6|     l_discount|           float|                  11|   Dictionary|  FixedSize1ByteAligned|        65675|             0|           11730765|                 0|         407437|           11730765|
|  lineitem|       6|        7|          l_tax|           float|                   9|   Dictionary|  FixedSize1ByteAligned|        65667|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       6|        8|   l_returnflag|          string|                   2|   Dictionary|  FixedSize1ByteAligned|        65743|             0|            5898150|                 0|              0|            5898150|
